,Model,RMSE,MAPE,Weeks ahead,Location
247,CMU-TimeSeries,299.75754477883123,35.01325445165634,1,US
248,CMU-TimeSeries,2.321864021193939,69.91294528617063,1,UT
249,CMU-TimeSeries,6.763318825536402,16.972561611855845,1,VA
250,CMU-TimeSeries,0.6293703310343666,21694249.43780105,1,VT
251,CMU-TimeSeries,5.110197127818807,64.09324154641408,1,WA
252,CMU-TimeSeries,18.16506011549095,46.15354057143921,1,WI
253,CMU-TimeSeries,7.573581779082424,86.83934496784127,1,WV
254,CMU-TimeSeries,3.282814141817811,117.22498470001605,1,WY
255,CMU-TimeSeries,2.5805262673749,131976083.58413172,2,AK
256,CMU-TimeSeries,6.526526391430342,44.71544105774166,2,AL
257,CMU-TimeSeries,21.742553674937383,59.17120344191067,2,AR
258,CMU-TimeSeries,55.14581860716502,72.85824871858662,2,AZ
259,CMU-TimeSeries,31.032671229622306,83.46211965598617,2,CA
260,CMU-TimeSeries,21.541064449930804,80.11316431738608,2,CO
261,CMU-TimeSeries,4.678586555749188,89890131.75925785,2,CT
262,CMU-TimeSeries,1.6136888138867178,25828619.982411247,2,DC
263,CMU-TimeSeries,5.860143702181698,60107904.49859062,2,DE
264,CMU-TimeSeries,32.27534619756537,34.33803046684222,2,FL
265,CMU-TimeSeries,25.34015908427133,49.89536181423604,2,GA
266,CMU-TimeSeries,25.10739454220117,96.77636409729702,2,IA
267,CMU-TimeSeries,3.292750198131837,145.67653267229463,2,ID
268,CMU-TimeSeries,14.047326167098431,89.875070017405,2,IL
269,CMU-TimeSeries,29.87796563726661,49.24810231212716,2,IN
270,CMU-TimeSeries,20.216922538934167,96.40330188253799,2,KS
271,CMU-TimeSeries,13.155618698954266,49.34019864461895,2,KY
272,CMU-TimeSeries,25.10928123171137,121.75956692394747,2,LA
273,CMU-TimeSeries,15.951741367541496,45.63325577938786,2,MA
274,CMU-TimeSeries,6.165979251338338,74.59410809283085,2,MD
275,CMU-TimeSeries,2.800326309162558,19242603.19540548,2,ME
276,CMU-TimeSeries,29.752007746004423,51.255061972231154,2,MI
277,CMU-TimeSeries,28.01819777524123,86.47168356043818,2,MN
278,CMU-TimeSeries,24.58945189180832,37.60014838178509,2,MO
279,CMU-TimeSeries,14.701988186417148,61.29601912675575,2,MS
280,CMU-TimeSeries,8.257992900166892,59.0550093365533,2,MT
281,CMU-TimeSeries,80.20069203963715,135.60622449829606,2,NC
282,CMU-TimeSeries,3.6610974287788562,128104577.87168697,2,ND
283,CMU-TimeSeries,18.19741803363794,45.01926274793109,2,NE
284,CMU-TimeSeries,6.341636931404593,118.48904405481319,2,NH
285,CMU-TimeSeries,14.756525417351137,55.506593183059074,2,NJ
286,CMU-TimeSeries,5.317977788142998,86207220.01862302,2,NM
287,CMU-TimeSeries,9.778906208935307,54.99129799723843,2,NV
288,CMU-TimeSeries,16.91633644275771,48.79340077676267,2,NY
289,CMU-TimeSeries,34.64456781636459,72.54189978763446,2,OH
290,CMU-TimeSeries,60.893200914012105,73.66422654330216,2,OK
291,CMU-TimeSeries,2.823933665644103,119.82916292718402,2,OR
292,CMU-TimeSeries,40.526560595131315,51.873227466429995,2,PA
293,CMU-TimeSeries,0.869748083214816,42183375.037524186,2,RI
294,CMU-TimeSeries,16.442693175753266,91.78905275052094,2,SC
295,CMU-TimeSeries,11.889859588144935,49.22616395470279,2,SD
296,CMU-TimeSeries,19.6738449448821,58.28523346284973,2,TN
297,CMU-TimeSeries,115.44236124290043,98.31742413272192,2,TX
298,CMU-TimeSeries,574.6242757171452,42.3866042247244,2,US
299,CMU-TimeSeries,3.221275817976613,71.68944990652346,2,UT
300,CMU-TimeSeries,11.501634140628445,25.219797783933828,2,VA
301,CMU-TimeSeries,0.5688654597749435,31463508.077167057,2,VT
302,CMU-TimeSeries,4.375194751590473,67.84125582633865,2,WA
303,CMU-TimeSeries,30.655158775967735,67.45531699014514,2,WI
304,CMU-TimeSeries,8.628181721267197,57.48908063213085,2,WV
305,CMU-TimeSeries,2.7391626952958155,110.65468744026323,2,WY
306,CMU-TimeSeries,2.713279168698027,110573497.59022158,3,AK
307,CMU-TimeSeries,10.29238018920848,40.920943625080305,3,AL
308,CMU-TimeSeries,32.55376252604228,61.843697681701215,3,AR
309,CMU-TimeSeries,64.55928221598381,69.56456945787072,3,AZ
310,CMU-TimeSeries,52.36076095973537,128.57650528401524,3,CA
311,CMU-TimeSeries,20.870212226955122,63.57215571134661,3,CO
312,CMU-TimeSeries,7.669588656244793,94686784.93351935,3,CT
313,CMU-TimeSeries,1.6637137130283595,29218740.651488617,3,DC
314,CMU-TimeSeries,7.821379094695964,81222933.07691163,3,DE
315,CMU-TimeSeries,31.65429363207643,42.617797829244985,3,FL
316,CMU-TimeSeries,24.79695505125893,55.53508310641444,3,GA
317,CMU-TimeSeries,34.23213392055942,82.97074786637154,3,IA
318,CMU-TimeSeries,2.9600863404084437,132.58240713820283,3,ID
319,CMU-TimeSeries,20.114066267827578,98.58407608371897,3,IL
320,CMU-TimeSeries,36.42784991362483,44.6840845494486,3,IN
321,CMU-TimeSeries,27.3307955671856,96.59185917517055,3,KS
322,CMU-TimeSeries,15.604959600483046,55.52409925519184,3,KY
323,CMU-TimeSeries,20.582960149854195,71.3856966952663,3,LA
324,CMU-TimeSeries,18.6730669900669,62.20442250962611,3,MA
325,CMU-TimeSeries,7.94495598355369,54.89824470609287,3,MD
326,CMU-TimeSeries,2.6261971957210273,59.93045525442058,3,ME
327,CMU-TimeSeries,38.452663021146776,50.15030206026082,3,MI
328,CMU-TimeSeries,34.40396930611023,105.01649635743055,3,MN
329,CMU-TimeSeries,31.426529073868007,41.159193238618386,3,MO
330,CMU-TimeSeries,16.96045652438043,51.95772831386114,3,MS
331,CMU-TimeSeries,12.10382445074325,70.68556263829913,3,MT
332,CMU-TimeSeries,109.75934467019663,197.24273284464627,3,NC
333,CMU-TimeSeries,7.3569845002505785,183196563.42018396,3,ND
334,CMU-TimeSeries,22.585086702835383,45.109229729163715,3,NE
335,CMU-TimeSeries,6.923915351696166,116.62112270405389,3,NH
336,CMU-TimeSeries,19.235742834514134,55.493070841836165,3,NJ
337,CMU-TimeSeries,5.848112210006939,40193709.05850342,3,NM
338,CMU-TimeSeries,10.13808499393113,52.65320296914236,3,NV
339,CMU-TimeSeries,20.996766850542013,54.138663328446924,3,NY
